Compound,A,B,Lowest distortion,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,τ,μ,In literature
TaMgO3,Ta,Mg,cubic,not balanced,not balanced,0.74,0.68,0.72,1.5,1.31,2.293677806,2.046489492,-1.946357143,0.7137776,-,0.514285714,FALSE
EuOsO3,Eu,Os,orthorhombic,element not in BV,element not in BV,1.48,1.06,0.57,1.2,2.2,2.675987786,1.954921624,-1.811714286,1.033739863,-,0.407142857,FALSE
TiDyO3,Ti,Dy,cubic,not balanced,not balanced,0.74,0.71,0.99,1.54,1.22,2.276501981,2.255580699,-2.474785714,0.633141637,-,0.707142857,FALSE
ErGaO3,Er,Ga,orthorhombic,3,3,1.06,0.89,0.62,1.24,1.81,2.536253277,1.974643898,-1.865928571,0.86113004,2.821717737,0.442857143,FALSE
HoBeO3,Ho,Be,tetragonal,not balanced,not balanced,1.12,0.9,0.45,1.23,1.57,2.54631216,1.803349248,-1.656035714,0.963194102,-,0.321428571,FALSE
YLuO3,Y,Lu,cubic,3,3,1.08,0.9,0.86,1.22,1.27,2.566448705,2.209114963,-2.575428571,0.775940185,9.16744884,0.614285714,FALSE
YbTiO3,Yb,Ti,orthorhombic,2,4,1.14,0.95,0.61,1.1,1.54,2.519261398,1.927848949,-2.032785714,0.893557823,4.272305656,0.435714286,TRUE
InTmO3,In,Tm,cubic,not balanced,not balanced,0.92,0.8,0.96,1.78,1.25,2.392361909,2.119700811,-2.468142857,0.69512192,-,0.685714286,FALSE
UTiO3,U,Ti,orthorhombic,3,3,1.03,0.85,0.67,1.38,1.54,2.344466993,1.927848949,-2.015,0.830081874,3.814087726,0.478571429,FALSE
IrTcO3,Ir,Tc,cubic,element not in BV,element not in BV,0.63,0.63,0.6,2.2,1.9,2.311294958,0,-1.349357143,0.717713383,-,0.428571429,FALSE
WOsO3,W,Os,cubic,element not in BV,element not in BV,0.63,0.63,0.57,2.36,2.2,2.106036534,1.954921624,-1.199142857,0.728643028,-,0.407142857,FALSE
LuTeO3,Lu,Te,cubic,not balanced,not balanced,1.03,0.86,0.77,1.27,2.1,2.500929926,2.115491508,-2.035678571,0.791829253,-,0.55,FALSE
SnOsO3,Sn,Os,cubic,element not in BV,element not in BV,0.81,0.69,0.57,1.96,2.2,2.342369243,1.954921624,-1.360285714,0.79325177,-,0.407142857,FALSE
CeTlO3,Ce,Tl,orthorhombic,3,3,1.34,0.94,0.89,1.12,1.62,2.577786082,2.297683747,-2.701857143,0.846057895,3.611196145,0.635714286,FALSE
SnBiO3,Sn,Bi,cubic,3,3,0.81,0.69,1.03,1.96,2.02,2.342369243,2.215655462,-2.220642857,0.643088883,-17.45942551,0.735714286,FALSE
NdBO3,Nd,B,cubic,not balanced,not balanced,1.27,0.98,0.27,1.14,2.04,2.617633987,1.624661665,-1.1885,1.130524015,-,0.192857143,FALSE
RhVO3,Rh,V,cubic,3,3,0.67,0.61,0.64,2.28,1.63,2.332748705,1.758039163,-1.484535714,0.71750541,61.7458237,0.457142857,FALSE
MoGdO3,Mo,Gd,cubic,3,3,0.69,0.62,0.94,2.16,1.2,2.079035521,2.28415608,-2.136571429,0.631561185,-14.63292533,0.671428571,FALSE
BPmO3,B,Pm,cubic,element not in BV,element not in BV,0.27,0.27,0.97,2.04,1.13,1.891523329,0,-1.899464286,0.498256677,-,0.692857143,FALSE
ErNaO3,Er,Na,cubic,not balanced,not balanced,1.06,0.89,1.02,1.24,0.93,2.536253277,2.425828064,-3.004785714,0.718794497,-,0.728571429,FALSE
RuMnO3,Ru,Mn,cubic,2,4,0.68,0.62,0.53,2.2,1.55,2.316806575,2.16999357,-1.344857143,0.762063267,8.937958624,0.378571429,FALSE
VWO3,V,W,cubic,2,4,0.79,0.64,0.66,1.63,2.36,2.062330776,1.7456,-1.542214286,0.751730025,11.43617946,0.471428571,FALSE
TmNaO3,Tm,Na,cubic,not balanced,not balanced,1.05,0.96,1.02,1.25,0.93,2.411515774,2.425828064,-2.992178571,0.715872568,-,0.728571429,FALSE
