Compound,A,B,Lowest distortion,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,τ,μ,In literature
TeRhO3,Te,Rh,cubic,2,4,0.97,0.77,0.6,2.1,2.28,2.393443528,2.001424352,-1.426142857,0.837921536,5.06430624,0.428571429,FALSE
HgHfO3,Hg,Hf,rhombohedral,2,4,1.14,1.11,0.71,2,1.3,2.645968153,2.027412322,-2.108714286,0.851209111,4.753545157,0.507142857,FALSE
TiCeO3,Ti,Ce,rhombohedral,2,4,0.86,0.71,0.87,1.54,1.12,2.276501981,2.268642439,-2.371785714,0.703991773,-173.4003942,0.621428571,FALSE
CuTmO3,Cu,Tm,rhombohedral,not balanced,not balanced,0.68,0.68,0.96,1.9,1.25,2.301547692,2.119700811,-2.239285714,0.623212756,-,0.685714286,FALSE
InLuO3,In,Lu,cubic,not balanced,not balanced,0.92,0.8,0.86,1.78,1.27,2.392361909,2.209114963,-2.279428571,0.725879528,-,0.614285714,FALSE
CsRbO3,Cs,Rb,cubic,not balanced,not balanced,1.88,1.67,1.52,0.79,0.82,3.300175886,2.825996661,-5.065142857,0.79428433,-,1.085714286,FALSE
Au2O3,Au,Au,cubic,element not in BV,element not in BV,0.93,0.93,0.93,2.54,2.54,2.639131071,2.31369847,-1.740428571,0.707106781,-,0.664285714,FALSE
EuNiO3,Eu,Ni,orthorhombic,3,3,1.12,1.06,0.6,1.2,1.91,2.675987786,2.103725488,-1.829142857,0.890954544,2.305473586,0.428571429,TRUE
MgSnO3,Mg,Sn,cubic,2,4,0.89,0.72,0.69,1.31,1.96,2.401380848,2.052287148,-1.843035714,0.774772502,8.164181798,0.492857143,FALSE
PbKO3,Pb,K,orthorhombic,not balanced,not balanced,1.49,0.99,1.38,2.33,0.82,2.659877134,2.723507129,-3.636714286,0.735085826,-,0.985714286,FALSE
AlYO3,Al,Y,rhombohedral,3,3,0.54,0.54,0.9,1.61,1.22,2.186788809,2.235124352,-2.122071429,0.596429198,-10.96815178,0.642857143,FALSE
AcTlO3,Ac,Tl,orthorhombic,element not in BV,element not in BV,1.12,1.12,1.2,1.1,1.62,0,2.297683747,-3.205142857,0.685349649,-,0.857142857,FALSE
PuTlO3,Pu,Tl,orthorhombic,element not in BV,element not in BV,0.96,0.83,1.2,1.28,1.62,2.478196261,2.297683747,-3.024,0.641835386,-,0.857142857,FALSE
PuLuO3,Pu,Lu,cubic,element not in BV,element not in BV,0.96,0.83,0.86,1.28,1.27,2.478196261,2.209114963,-2.464,0.738394692,-,0.614285714,FALSE
YTeO3,Y,Te,cubic,not balanced,not balanced,1.08,0.9,0.77,1.22,2.1,2.566448705,2.115491508,-2.073357143,0.808122036,-,0.55,FALSE
TbCoO3,Tb,Co,orthorhombic,3,3,1.1,0.84,0.61,1.2,1.88,2.557065458,1.930310969,-1.850285714,0.879486046,2.470415093,0.435714286,TRUE
AlPtO3,Al,Pt,cubic,element not in BV,element not in BV,0.54,0.54,0.67,1.61,2.28,2.186788809,2.64390067,-1.48475,0.662699109,-,0.478571429,FALSE
NiSbO3,Ni,Sb,cubic,1,5,0.69,0.59,0.6,1.91,2.05,2.39068842,2.075848892,-1.407535714,0.738926586,9.561610506,0.428571429,FALSE
RhTcO3,Rh,Tc,cubic,element not in BV,element not in BV,0.61,0.61,0.6,2.28,1.9,2.332748705,0,-1.321214286,0.710642315,-,0.428571429,FALSE
TaCuO3,Ta,Cu,orthorhombic,not balanced,not balanced,0.74,0.68,0.68,1.5,1.9,2.293677806,2.005573846,-1.713571429,0.727504092,-,0.485714286,FALSE
MnPdO3,Mn,Pd,cubic,2,4,0.96,0.62,0.62,1.55,2.2,2.472898888,2.04250519,-1.605357143,0.826124754,5.341038905,0.442857143,FALSE
AuCsO3,Au,Cs,cubic,element not in BV,element not in BV,0.93,0.93,1.67,2.54,0.79,2.639131071,3.009747218,-3.468678571,0.536664104,-,1.192857143,FALSE
CaMoO3,Ca,Mo,orthorhombic,2,4,1.34,1,0.65,1,2.16,2.648077507,1.7893,-1.977571429,0.945108576,3.853013344,0.464285714,TRUE
YbNiO3,Yb,Ni,orthorhombic,3,3,1.04,0.95,0.6,1.1,1.91,2.519261398,2.103725488,-1.806857143,0.862670273,2.78708232,0.428571429,TRUE
PmCrO3,Pm,Cr,orthorhombic,element not in BV,element not in BV,1.14,0.97,0.58,1.13,1.66,0,1.960053288,-1.915785714,0.907096578,-,0.414285714,FALSE
OsTiO3,Os,Ti,cubic,element not in BV,element not in BV,0.57,0.57,0.71,2.2,1.54,2.30010892,1.927848949,-1.5735,0.660189744,-,0.507142857,FALSE
CuSiO3,Cu,Si,cubic,not balanced,not balanced,0.68,0.68,0.4,1.9,1.9,2.301547692,1.783360927,-1.085428571,0.817101169,-,0.285714286,FALSE
PrIrO3,Pr,Ir,orthorhombic,3,3,1.18,0.92,0.68,1.13,2.2,2.645083225,2.009082787,-1.919,0.877084373,2.503853194,0.485714286,FALSE
LaZnO3,La,Zn,orthorhombic,not balanced,not balanced,1.36,1.03,0.74,1.1,1.65,2.689118757,2.096140752,-2.397,0.911969493,-,0.528571429,FALSE
CdSiO3,Cd,Si,tetragonal,2,4,1.31,0.95,0.4,1.69,1.9,2.568546104,1.783360927,-1.461928571,1.064588543,5.021285796,0.285714286,FALSE
PdYbO3,Pd,Yb,orthorhombic,3,3,0.76,0.75,0.87,2.2,1.1,2.37071038,2.223980699,-2.089285714,0.672841695,-26.77822056,0.621428571,FALSE
SrNbO3,Sr,Nb,orthorhombic,2,4,1.44,1.18,0.68,0.95,1.6,2.768350558,1.955055241,-2.386428571,0.96547272,3.703582344,0.485714286,TRUE
LaPmO3,La,Pm,cubic,element not in BV,element not in BV,1.36,1.03,0.97,1.1,1.13,2.689118757,0,-3.124357143,0.823466125,-,0.692857143,FALSE
BBiO3,B,Bi,cubic,1,5,0.27,0.27,0.76,2.04,2.02,1.891523329,2.215655462,-1.450642857,0.546698298,0.498821498,0.542857143,FALSE
YbBeO3,Yb,Be,orthorhombic,not balanced,not balanced,1.04,0.95,0.45,1.1,1.57,2.519261398,1.803349248,-1.6235,0.932616511,-,0.321428571,FALSE
KPdO3,K,Pd,tetragonal,not balanced,not balanced,1.64,1.38,0.75,0.82,2.2,3.025719299,2.04250519,-2.3495,0.9998161,-,0.535714286,FALSE
FeSrO3,Fe,Sr,orthorhombic,not balanced,not balanced,0.85,0.67,1.18,1.83,0.95,2.290643632,2.452968591,-2.884107143,0.616662891,-,0.842857143,FALSE
SnGdO3,Sn,Gd,cubic,3,3,0.81,0.69,0.94,1.96,1.2,2.342369243,2.28415608,-2.299714286,0.667823071,-24.87833948,0.671428571,FALSE
TbTaO3,Tb,Ta,cubic,1,5,1.1,0.84,0.64,1.2,1.5,2.557065458,1.956808277,-2.060428571,0.866552428,4.360983427,0.457142857,FALSE
NdZnO3,Nd,Zn,orthorhombic,not balanced,not balanced,1.27,0.98,0.74,1.14,1.65,2.617633987,2.096140752,-2.328892857,0.882231358,-,0.528571429,FALSE
ReSbO3,Re,Sb,cubic,not balanced,not balanced,0.57,0.57,0.68,1.9,2.05,2.33939643,2.075848892,-1.492392857,0.669711711,-,0.485714286,FALSE
TeNbO3,Te,Nb,cubic,1,5,0.97,0.77,0.64,2.1,1.6,2.393443528,1.955055241,-1.73,0.821491702,4.832337246,0.457142857,FALSE
MnAuO3,Mn,Au,cubic,element not in BV,element not in BV,0.96,0.62,0.93,1.55,2.54,2.472898888,2.31369847,-2.078892857,0.71621116,-,0.664285714,FALSE
NpSiO3,Np,Si,tetragonal,element not in BV,element not in BV,0.98,0.86,0.4,1.36,1.9,0,1.783360927,-1.327571429,0.9349523,-,0.285714286,FALSE
RhLuO3,Rh,Lu,cubic,3,3,0.67,0.61,0.86,2.28,1.27,2.332748705,2.209114963,-1.932107143,0.647659751,-16.73386157,0.614285714,FALSE
ErMoO3,Er,Mo,cubic,3,3,1.06,0.89,0.69,1.24,2.16,2.536253277,1.7893,-1.874428571,0.832288364,3.763543667,0.492857143,FALSE
PmZrO3,Pm,Zr,orthorhombic,element not in BV,element not in BV,1.14,0.97,0.72,1.13,1.33,0,2.043777903,-2.337642857,0.847193974,-,0.514285714,FALSE
TiYbO3,Ti,Yb,orthorhombic,not balanced,not balanced,0.74,0.71,0.95,1.54,1.1,2.276501981,2.223980699,-2.430214286,0.643918516,-,0.678571429,FALSE
SbMgO3,Sb,Mg,cubic,not balanced,not balanced,0.68,0.68,0.72,2.05,1.31,2.361078957,2.046489492,-1.759285714,0.693765144,-,0.514285714,FALSE
TbBO3,Tb,B,cubic,4,2,0.88,0.84,0.27,1.2,2.04,2.557065458,1.624661665,-0.987714286,0.965391294,0.219495473,0.192857143,FALSE
CdSnO3,Cd,Sn,orthorhombic,2,4,1.31,0.95,0.69,1.69,1.96,2.568546104,2.052287148,-1.971392857,0.916870515,3.951861548,0.492857143,TRUE
SiCrO3,Si,Cr,cubic,2,4,0.4,0.4,0.55,1.9,1.66,2.082800509,1.960053288,-1.2325,0.652713952,-6.022070694,0.392857143,FALSE
LiSbO3,Li,Sb,rhombohedral,1,5,0.92,0.76,0.6,0.98,2.05,2.453211831,2.075848892,-1.721,0.820243866,4.920547752,0.428571429,FALSE
PaVO3,Pa,V,cubic,element not in BV,element not in BV,0.95,0.91,0.64,1.5,1.63,0,1.758039163,-1.843821429,0.814559282,-,0.457142857,FALSE
KReO3,K,Re,cubic,1,5,1.64,1.38,0.58,0.82,1.9,3.025719299,1.98797081,-2.157285714,1.085658896,4.134134169,0.414285714,FALSE
TiSbO3,Ti,Sb,cubic,2,4,0.86,0.71,0.68,1.54,2.05,2.276501981,2.075848892,-1.723785714,0.768298714,8.829629905,0.485714286,FALSE
PmYO3,Pm,Y,cubic,element not in BV,element not in BV,1.14,0.97,0.9,1.13,1.22,0,2.235124352,-2.752071429,0.780891837,-,0.642857143,FALSE
PuVO3,Pu,V,rhombohedral,element not in BV,element not in BV,0.96,0.83,0.64,1.28,1.63,2.478196261,1.758039163,-1.900571429,0.818025492,-,0.457142857,TRUE
NbScO3,Nb,Sc,cubic,3,3,0.72,0.68,0.75,1.6,1.36,2.294004213,2.074614707,-1.949142857,0.697240175,-77.68353633,0.535714286,FALSE
BiHfO3,Bi,Hf,orthorhombic,2,4,1.38,0.9,0.71,2.02,1.3,2.514401896,2.027412322,-2.287071429,0.931638318,3.821179691,0.507142857,FALSE
TaScO3,Ta,Sc,cubic,not balanced,not balanced,0.74,0.68,0.75,1.5,1.36,2.293677806,2.074614707,-1.990785714,0.703817912,-,0.535714286,FALSE
KRuO3,K,Ru,orthorhombic,1,5,1.64,1.38,0.57,0.82,2.2,3.025719299,2.018753288,-1.959928571,1.091169855,4.178653323,0.407142857,FALSE
VOsO3,V,Os,cubic,element not in BV,element not in BV,0.72,0.64,0.57,1.63,2.2,2.062330776,1.954921624,-1.387607143,0.760947399,-,0.407142857,FALSE
VNpO3,V,Np,orthorhombic,element not in BV,element not in BV,0.72,0.64,0.86,1.63,1.36,2.062330776,0,-2.147357143,0.663303706,-,0.614285714,FALSE
AuBaO3,Au,Ba,orthorhombic,element not in BV,element not in BV,0.93,0.93,1.35,2.54,0.89,2.639131071,2.64009357,-2.939464286,0.599112291,-,0.964285714,FALSE
NdDyO3,Nd,Dy,cubic,3,3,1.27,0.98,0.91,1.14,1.22,2.617633987,2.255580699,-2.872428571,0.817305241,5.099117898,0.65,FALSE
RuAlO3,Ru,Al,cubic,not balanced,not balanced,0.62,0.62,0.54,2.2,1.61,2.316806575,1.892894405,-1.307785714,0.736265824,-,0.385714286,FALSE
NiSiO3,Ni,Si,cubic,2,4,0.69,0.59,0.4,1.91,1.9,2.39068842,1.783360927,-1.0895,0.82102954,5.827639094,0.285714286,FALSE
VPtO3,V,Pt,cubic,element not in BV,element not in BV,0.72,0.64,0.67,1.63,2.28,2.062330776,2.64390067,-1.554535714,0.724186655,-,0.478571429,FALSE
SrTmO3,Sr,Tm,orthorhombic,not balanced,not balanced,1.44,1.18,0.96,0.95,1.25,2.768350558,2.119700811,-3.159428571,0.85092511,-,0.685714286,FALSE
HoRhO3,Ho,Rh,cubic,2,4,1.12,0.9,0.6,1.23,2.28,2.54631216,2.001424352,-1.674714286,0.890954544,4.314760168,0.428571429,TRUE
AgOsO3,Ag,Os,rhombohedral,element not in BV,element not in BV,1.28,0.95,0.57,1.93,2.2,2.76145322,1.954921624,-1.574535714,0.961952372,-,0.407142857,FALSE
LiAgO3,Li,Ag,cubic,not balanced,not balanced,0.92,0.76,0.95,0.98,1.93,2.453211831,2.488353231,-2.497928571,0.698079886,-,0.678571429,FALSE
FeMgO3,Fe,Mg,cubic,not balanced,not balanced,0.85,0.67,0.72,1.83,1.31,2.290643632,2.046489492,-1.945178571,0.750467103,-,0.514285714,FALSE
PaYbO3,Pa,Yb,cubic,element not in BV,element not in BV,0.95,0.91,0.95,1.5,1.1,0,2.223980699,-2.619285714,0.707106781,-,0.678571429,FALSE
TiScO3,Ti,Sc,cubic,not balanced,not balanced,0.74,0.71,0.75,1.54,1.36,2.276501981,2.074614707,-1.980071429,0.703817912,-,0.535714286,FALSE
FeSbO3,Fe,Sb,cubic,1,5,0.92,0.67,0.6,1.83,2.05,2.290643632,2.075848892,-1.538857143,0.820243866,4.920547752,0.428571429,FALSE
CeGeO3,Ce,Ge,orthorhombic,3,3,1.34,0.94,0.63,1.12,2.01,2.577786082,1.899964183,-1.980357143,0.95441999,1.677117524,0.45,FALSE
AlBiO3,Al,Bi,orthorhombic,not balanced,not balanced,0.54,0.54,0.9,1.61,2.02,2.186788809,2.215655462,-1.967785714,0.596429198,-,0.642857143,FALSE
RbLuO3,Rb,Lu,tetragonal,not balanced,not balanced,1.72,1.52,0.86,0.82,1.27,3.112266446,2.209114963,-3.194285714,0.976182813,-,0.614285714,FALSE
ErNiO3,Er,Ni,orthorhombic,3,3,1.06,0.89,0.6,1.24,1.91,2.536253277,2.103725488,-1.787785714,0.869741341,2.646373089,0.428571429,TRUE
MnAlO3,Mn,Al,orthorhombic,3,3,0.65,0.62,0.54,1.55,1.61,2.472898888,1.892894405,-1.45275,0.747200465,13.06966018,0.385714286,FALSE
LiAcO3,Li,Ac,orthorhombic,element not in BV,element not in BV,0.92,0.76,1.12,0.98,1.1,2.453211831,0,-3.128857143,0.650987195,-,0.8,FALSE
FePmO3,Fe,Pm,orthorhombic,element not in BV,element not in BV,0.85,0.67,0.97,1.83,1.13,2.290643632,0,-2.450714286,0.671303906,-,0.692857143,FALSE
BiYO3,Bi,Y,cubic,3,3,1.38,0.9,0.9,2.02,1.22,2.514401896,2.235124352,-2.656285714,0.854676892,3.317198813,0.642857143,FALSE
NaMnO3,Na,Mn,orthorhombic,not balanced,not balanced,1.39,1.02,0.62,0.93,1.55,2.759925005,2.16999357,-2.25575,0.976647485,-,0.442857143,FALSE
SrBO3,Sr,B,cubic,not balanced,not balanced,1.44,1.18,0.27,0.95,2.04,2.768350558,1.624661665,-1.291821429,1.202504945,-,0.192857143,FALSE
AlNiO3,Al,Ni,cubic,3,3,0.54,0.54,0.6,1.61,1.91,2.186788809,2.103725488,-1.424357143,0.685893578,-32.29296494,0.428571429,FALSE
PmLiO3,Pm,Li,orthorhombic,element not in BV,element not in BV,1.14,0.97,0.76,1.13,0.98,0,2.095547886,-2.562285714,0.831505196,-,0.542857143,FALSE
SmRhO3,Sm,Rh,orthorhombic,2,4,1.32,0.96,0.6,1.17,2.28,2.611965458,2.001424352,-1.770428571,0.961665222,3.91385071,0.428571429,TRUE
HgBiO3,Hg,Bi,rhombohedral,1,5,1.19,1.11,0.76,2,2.02,2.645968153,2.215655462,-1.928071429,0.847873409,4.334129929,0.542857143,FALSE
HgOsO3,Hg,Os,rhombohedral,element not in BV,element not in BV,1.14,1.11,0.57,2,2.2,2.645968153,1.954921624,-1.498285714,0.911701129,-,0.407142857,FALSE
ErGdO3,Er,Gd,cubic,3,3,1.06,0.89,0.94,1.24,1.2,2.536253277,2.28415608,-2.741428571,0.743368667,20.64698874,0.671428571,FALSE
ScOsO3,Sc,Os,cubic,element not in BV,element not in BV,0.87,0.75,0.57,1.36,2.2,2.417029414,1.954921624,-1.509,0.814788017,-,0.407142857,FALSE
YbRhO3,Yb,Rh,orthorhombic,2,4,1.14,0.95,0.6,1.1,2.28,2.519261398,2.001424352,-1.710857143,0.898025612,4.253683871,0.428571429,FALSE
TmIrO3,Tm,Ir,cubic,2,4,1.09,0.96,0.63,1.25,2.2,2.411515774,2.009082787,-1.749464286,0.867337874,4.534214963,0.45,FALSE
CuUO3,Cu,U,rhombohedral,1,5,0.77,0.68,0.76,1.9,1.38,2.301547692,2.0478,-1.918214286,0.710380424,78.34758054,0.542857143,FALSE
TiTeO3,Ti,Te,cubic,2,4,0.86,0.71,0.97,1.54,2.1,2.276501981,2.115491508,-2.2615,0.674287479,-17.28868532,0.692857143,FALSE
GdRbO3,Gd,Rb,orthorhombic,not balanced,not balanced,1.11,0.94,1.52,1.2,0.82,2.57181216,2.825996661,-4.122071429,0.60782124,-,1.085714286,FALSE
HfRhO3,Hf,Rh,cubic,not balanced,not balanced,0.83,0.71,0.61,1.3,2.28,2.358736674,2.001424352,-1.5595,0.784501553,-,0.435714286,FALSE
PaAsO3,Pa,As,cubic,element not in BV,element not in BV,0.95,0.91,0.52,1.5,2.18,0,1.932227032,-1.426642857,0.865469237,-,0.371428571,FALSE
PdTiO3,Pd,Ti,cubic,2,4,0.86,0.75,0.61,2.2,1.54,2.37071038,1.927848949,-1.603142857,0.795055386,6.504369405,0.435714286,FALSE
PrTiO3,Pr,Ti,orthorhombic,3,3,1.18,0.92,0.67,1.13,1.54,2.645083225,1.927848949,-2.176607143,0.881321495,2.424634788,0.478571429,TRUE
GeBeO3,Ge,Be,cubic,not balanced,not balanced,0.63,0.63,0.45,2.01,1.57,2.174450466,1.803349248,-1.203428571,0.77590636,-,0.321428571,FALSE
TbPdO3,Tb,Pd,orthorhombic,2,4,1.1,0.84,0.62,1.2,2.2,2.557065458,2.04250519,-1.744857143,0.875132155,4.446975254,0.442857143,FALSE
PbSnO3,Pb,Sn,rhombohedral,2,4,1.49,0.99,0.69,2.33,1.96,2.659877134,2.052287148,-1.908821429,0.977769664,3.639036549,0.492857143,FALSE
MnPtO3,Mn,Pt,cubic,element not in BV,element not in BV,0.96,0.62,0.67,1.55,2.28,2.472898888,2.64390067,-1.673107143,0.80617005,-,0.478571429,FALSE
AgTaO3,Ag,Ta,rhombohedral,1,5,1.28,0.95,0.64,1.93,1.5,2.76145322,1.956808277,-2.018285714,0.928944203,4.072890082,0.457142857,TRUE
CdZrO3,Cd,Zr,orthorhombic,2,4,1.31,0.95,0.72,1.69,1.33,2.568546104,2.043777903,-2.32175,0.903895933,4.024142317,0.514285714,FALSE
BCoO3,B,Co,cubic,2,4,0.27,0.27,0.53,2.04,1.88,1.891523329,1.930310969,-1.066571429,0.611848873,-2.869144135,0.378571429,FALSE
YCaO3,Y,Ca,cubic,not balanced,not balanced,1.08,0.9,1,1.22,1,2.566448705,2.318139449,-2.962571429,0.730677007,-,0.714285714,FALSE
RuEuO3,Ru,Eu,rhombohedral,not balanced,not balanced,0.62,0.62,1.06,2.2,1.2,2.316806575,2.354367494,-2.267714286,0.580632398,-,0.757142857,FALSE
SnMnO3,Sn,Mn,cubic,2,4,0.81,0.69,0.53,1.96,1.55,2.342369243,2.16999357,-1.478035714,0.809692221,5.84780813,0.378571429,FALSE
BeReO3,Be,Re,cubic,2,4,0.45,0.45,0.63,1.57,1.9,2.178341873,1.98797081,-1.44225,0.644407658,-6.023511223,0.45,FALSE
PbPrO3,Pb,Pr,cubic,2,4,1.49,0.99,0.85,2.33,1.13,2.659877134,2.340791612,-2.6105,0.908239377,3.893118461,0.607142857,FALSE
NbRhO3,Nb,Rh,cubic,3,3,0.72,0.68,0.67,1.6,2.28,2.294004213,2.001424352,-1.561714286,0.724186655,37.88215804,0.478571429,FALSE
TmScO3,Tm,Sc,cubic,3,3,1.05,0.96,0.75,1.25,1.36,2.411515774,2.074614707,-2.288035714,0.805772844,5.349122997,0.535714286,FALSE
SiCdO3,Si,Cd,cubic,not balanced,not balanced,0.4,0.4,0.95,1.9,1.69,2.082800509,2.286435201,-1.939642857,0.541613705,-,0.678571429,FALSE
HgMnO3,Hg,Mn,orthorhombic,2,4,1.14,1.11,0.53,2,1.55,2.645968153,2.16999357,-1.693214286,0.930596489,4.25823497,0.378571429,FALSE
AgVO3,Ag,V,tetragonal,1,5,1.28,0.95,0.54,1.93,1.63,2.76145322,1.758039163,-1.782071429,0.976827925,4.339108738,0.385714286,TRUE
SbZnO3,Sb,Zn,cubic,not balanced,not balanced,0.68,0.68,0.74,2.05,1.65,2.361078957,2.096140752,-1.711214286,0.687281357,-,0.528571429,FALSE
ThYO3,Th,Y,cubic,not balanced,not balanced,1.21,0.94,0.9,1.3,1.22,2.582925572,2.235124352,-2.752928571,0.802412478,-,0.642857143,FALSE
BiOsO3,Bi,Os,orthorhombic,element not in BV,element not in BV,1.38,0.9,0.57,2.02,2.2,2.514401896,1.954921624,-1.6005,0.997846118,-,0.407142857,FALSE
ZrBO3,Zr,B,cubic,4,2,0.89,0.72,0.27,1.33,2.04,2.383420021,1.624661665,-0.980178571,0.969625466,0.239167974,0.192857143,FALSE
AuHfO3,Au,Hf,cubic,element not in BV,element not in BV,0.93,0.93,0.71,2.54,1.3,2.639131071,2.027412322,-1.811285714,0.780833555,-,0.507142857,FALSE
TmIrO3,Tm,Ir,cubic,2,4,1.09,0.96,0.63,1.25,2.2,2.411515774,2.009082787,-1.749464286,0.867337874,4.534214963,0.45,FALSE
PaSmO3,Pa,Sm,cubic,element not in BV,element not in BV,0.95,0.91,0.96,1.5,1.17,0,2.311832729,-2.61475,0.704110566,-,0.685714286,FALSE
HoTbO3,Ho,Tb,cubic,2,4,1.12,0.9,0.76,1.23,1.2,2.54631216,2.256932729,-2.429571429,0.824957911,5.443008864,0.542857143,FALSE
RuCuO3,Ru,Cu,cubic,5,1,0.57,0.62,0.77,2.2,1.9,2.316806575,2.005573846,-1.6005,0.641935649,-35.4885433,0.55,FALSE
BiYO3,Bi,Y,cubic,3,3,1.38,0.9,0.9,2.02,1.22,2.514401896,2.235124352,-2.656285714,0.854676892,3.317198813,0.642857143,FALSE
PdKO3,Pd,K,orthorhombic,not balanced,not balanced,0.75,0.75,1.38,2.2,0.82,2.37071038,2.723507129,-3.008357143,0.546863158,-,0.985714286,FALSE
PdZrO3,Pd,Zr,cubic,2,4,0.86,0.75,0.72,2.2,1.33,2.37071038,2.043777903,-1.8515,0.753802512,11.38925006,0.514285714,FALSE
AuRuO3,Au,Ru,orthorhombic,element not in BV,element not in BV,0.93,0.93,0.62,2.54,2.2,2.639131071,2.018753288,-1.372857143,0.815623168,-,0.442857143,FALSE
NaZnO3,Na,Zn,cubic,not balanced,not balanced,1.39,1.02,0.74,0.93,1.65,2.759925005,2.096140752,-2.461107143,0.921882205,-,0.528571429,FALSE
ScIrO3,Sc,Ir,cubic,1,5,0.87,0.75,0.57,1.36,2.2,2.417029414,2.009082787,-1.509,0.814788017,5.065673427,0.407142857,FALSE
HoErO3,Ho,Er,cubic,not balanced,not balanced,1.12,0.9,0.89,1.23,1.24,2.54631216,2.250676638,-2.675892857,0.77812624,-,0.635714286,FALSE
AsTeO3,As,Te,cubic,2,4,0.58,0.52,0.97,2.18,2.1,2.214684508,2.115491508,-1.905785714,0.590747437,-4.882096278,0.692857143,FALSE
MoNdO3,Mo,Nd,cubic,3,3,0.69,0.62,0.98,2.16,1.14,2.079035521,2.320966993,-2.218785714,0.620946711,-13.59160481,0.7,FALSE
CrTlO3,Cr,Tl,orthorhombic,not balanced,not balanced,0.57,0.58,1.2,1.66,1.62,2.258106575,2.297683747,-2.607642857,0.535769369,-,0.857142857,FALSE
PrIrO3,Pr,Ir,orthorhombic,3,3,1.18,0.92,0.68,1.13,2.2,2.645083225,2.009082787,-1.919,0.877084373,2.503853194,0.485714286,FALSE
PbSmO3,Pb,Sm,cubic,not balanced,not balanced,1.49,0.99,0.96,2.33,1.17,2.659877134,2.311832729,-2.767964286,0.865906185,-,0.685714286,FALSE
HgFeO3,Hg,Fe,orthorhombic,2,4,1.14,1.11,0.59,2,1.83,2.645968153,1.999521816,-1.683785714,0.902538304,4.239946133,0.421428571,FALSE
LuTmO3,Lu,Tm,cubic,3,3,1.03,0.86,0.88,1.27,1.25,2.500929926,2.119700811,-2.56875,0.753626964,14.90055482,0.628571429,FALSE
WPbO3,W,Pb,cubic,2,4,0.66,0.63,0.78,2.36,2.33,2.106036534,2.362863567,-1.520785714,0.668183472,-12.3354264,0.557142857,FALSE
MnPmO3,Mn,Pm,orthorhombic,element not in BV,element not in BV,0.96,0.62,0.97,1.55,1.13,2.472898888,0,-2.638464286,0.704123208,-,0.692857143,FALSE
RuPmO3,Ru,Pm,cubic,element not in BV,element not in BV,0.62,0.62,0.97,2.2,1.13,2.316806575,0,-2.132785714,0.602681729,-,0.692857143,FALSE
PrReO3,Pr,Re,cubic,3,3,1.18,0.92,0.63,1.13,1.9,2.645083225,1.98797081,-1.94275,0.898687436,2.176167775,0.45,FALSE
IrGeO3,Ir,Ge,cubic,not balanced,not balanced,0.63,0.63,0.63,2.2,2.01,2.311294958,1.899964183,-1.37475,0.707106781,-,0.45,FALSE
PtTbO3,Pt,Tb,cubic,element not in BV,element not in BV,0.67,0.67,0.84,2.28,1.2,2.422516721,2.256932729,-1.916,0.653442427,-,0.6,FALSE
CuTlO3,Cu,Tl,rhombohedral,not balanced,not balanced,0.68,0.68,1.2,1.9,1.62,2.301547692,2.297683747,-2.576285714,0.565685425,-,0.857142857,FALSE
TmEuO3,Tm,Eu,orthorhombic,not balanced,not balanced,1.05,0.96,1.06,1.25,1.2,2.411515774,2.354367494,-2.971357143,0.704232363,-,0.757142857,FALSE
Ba2O3,Ba,Ba,cubic,not balanced,not balanced,1.61,1.35,1.35,0.89,0.89,2.942998888,2.64009357,-4.354285714,0.773960513,-,0.964285714,FALSE
InDyO3,In,Dy,cubic,not balanced,not balanced,0.92,0.8,0.99,1.78,1.22,2.392361909,2.255580699,-2.532642857,0.686396541,-,0.707142857,FALSE
IrAcO3,Ir,Ac,rhombohedral,element not in BV,element not in BV,0.63,0.63,1.12,2.2,1.1,2.311294958,0,-2.3985,0.569613796,-,0.8,FALSE
LaRuO3,La,Ru,orthorhombic,3,3,1.36,1.03,0.68,1.1,2.2,2.689118757,2.018753288,-2.006,0.938276306,1.714993775,0.485714286,TRUE
SrPdO3,Sr,Pd,orthorhombic,2,4,1.44,1.18,0.62,0.95,2.2,2.768350558,2.04250519,-1.950785714,0.994150128,3.770438459,0.442857143,FALSE
CaThO3,Ca,Th,cubic,2,4,1.34,1,0.94,1,1.3,2.648077507,2.246056043,-2.998142857,0.827979735,5.530833695,0.671428571,FALSE
TiIrO3,Ti,Ir,cubic,2,4,0.86,0.71,0.63,1.54,2.2,2.276501981,2.009082787,-1.582357143,0.787222328,6.994871513,0.45,FALSE
YbTbO3,Yb,Tb,cubic,2,4,1.14,0.95,0.76,1.1,1.2,2.519261398,2.256932729,-2.480857143,0.831505196,5.24101565,0.542857143,FALSE
NpCeO3,Np,Ce,cubic,element not in BV,element not in BV,0.98,0.86,0.94,1.36,1.12,0,2.268642439,-2.665142857,0.719194077,-,0.671428571,FALSE
ThPuO3,Th,Pu,cubic,element not in BV,element not in BV,1.21,0.94,0.83,1.3,1.28,2.582925572,2.226583834,-2.5875,0.827600313,-,0.592857143,FALSE
